"address","dateOfPosting","status","numberOfLikes","numberOfBathroom","numberOfBedroom","homeValue","sqft","streetName","cityName","stateName","zipCode","homeImage"
"25 Cartwright Park","2018-07-13T02:44:14.265Z","SOLD",6,1,2,404435,1474,"61371 McCullough Lake","Rockville","MD",20848,"hi"
"26 Cartwright Park","2018-06-25T18:36:43.805Z","FORECLOSURE",144,3,3,944836,2923,"32761 Dickens Well","Rockville","MD",20848,"hi"
"27 Cartwright Park","2018-08-22T20:27:23.996Z","FOR RENT",192,0,0,2691664,2227,"91407 Lockman Ferry","Rockville","MD",20851,"hi"
"28 Cartwright Park","2018-10-10T04:44:26.412Z","FORECLOSURE",158,3,9,3171234,1647,"17467 Haag Streets","Rockville","MD",20851,"hi"
"29 Cartwright Park","2018-07-26T15:25:58.834Z","FOR SALE",123,2,10,1943879,2848,"282 Hilll Glens","Rockville","MD",20848,"hi"
"30 Cartwright Park","2018-09-05T22:01:38.478Z","FOR RENT",42,2,3,527045,409,"58039 Michael Ranch","Rockville","MD",20851,"hi"
"31 Cartwright Park","2018-05-01T19:09:51.893Z","FOR RENT",34,4,8,731924,1033,"17424 Torey Roads","Rockville","MD",20854,"hi"
"32 Cartwright Park","2018-06-03T04:06:35.540Z","FOR SALE",84,4,7,2105682,3181,"3526 Ansel Fort","Rockville","MD",20850,"hi"
"33 Cartwright Park","2018-07-24T17:10:26.359Z","FORECLOSURE",21,2,5,1687360,2898,"063 Rau Cove","Rockville","MD",20853,"hi"
"34 Cartwright Park","2018-05-02T10:36:48.078Z","SOLD",100,0,10,427477,1400,"48870 Patsy Court","Rockville","MD",20853,"hi"
"35 Cartwright Park","2018-08-01T16:28:39.753Z","OFF MARKET",63,4,8,2020545,844,"21214 Marcel Estate","Rockville","MD",20854,"hi"
"36 Cartwright Park","2018-05-08T02:38:37.012Z","FOR RENT",174,2,2,2765872,3674,"802 Tanner Burgs","Rockville","MD",20851,"hi"
"37 Cartwright Park","2018-05-08T03:33:00.912Z","SOLD",77,1,3,667813,1673,"7671 Aracely Throughway","Rockville","MD",20847,"hi"
"38 Cartwright Park","2018-06-13T02:13:14.634Z","FOR RENT",37,0,6,491850,304,"2084 Sanford Freeway","Rockville","MD",20877,"hi"
"39 Cartwright Park","2018-06-20T12:09:18.247Z","OFF MARKET",73,3,10,1679896,910,"2653 Heller Locks","Rockville","MD",20851,"hi"
"40 Cartwright Park","2018-07-01T21:54:57.643Z","SOLD",58,3,3,2588903,2352,"66612 Dane Keys","Rockville","MD",20847,"hi"
"41 Cartwright Park","2018-05-28T13:52:36.536Z","FORECLOSURE",66,1,2,223287,490,"871 Dorian Bridge","Rockville","MD",20850,"hi"
"42 Cartwright Park","2018-08-27T17:19:00.413Z","FORECLOSURE",91,4,9,233918,3596,"795 Jones Ways","Rockville","MD",20847,"hi"
"43 Cartwright Park","2018-06-25T10:18:53.318Z","AUCTION",103,1,2,3004399,1332,"6074 Green Lake","Rockville","MD",20853,"hi"
"44 Cartwright Park","2018-10-18T11:36:03.779Z","OFF MARKET",84,3,0,3859891,898,"399 Durgan Ridges","Rockville","MD",20852,"hi"
"45 Cartwright Park","2018-07-01T20:43:57.717Z","FOR RENT",122,2,2,3002974,2205,"1375 Connelly Station","Rockville","MD",20847,"hi"
"46 Cartwright Park","2018-08-21T19:48:21.285Z","OFF MARKET",146,4,10,3577003,2088,"289 Mya Rapids","Rockville","MD",20849,"hi"
"47 Cartwright Park","2018-09-15T09:51:06.329Z","AUCTION",44,2,6,2693843,628,"9974 Veum Estate","Rockville","MD",20849,"hi"
"48 Cartwright Park","2018-06-14T05:44:06.761Z","AUCTION",91,2,8,3082259,3568,"3059 Haag Gardens","Rockville","MD",20857,"hi"
"49 Cartwright Park","2018-08-15T00:38:21.574Z","OFF MARKET",103,1,8,828413,1022,"6061 Toy Glen","Rockville","MD",20852,"hi"
"50 Cartwright Park","2018-09-24T05:03:39.225Z","FORECLOSURE",50,0,5,2914452,895,"7460 Tierra Trafficway","Rockville","MD",20852,"hi"
"51 Cartwright Park","2018-07-11T06:44:14.271Z","FOR RENT",189,2,8,546199,2081,"647 Gerardo Village","Rockville","MD",20853,"hi"
"52 Cartwright Park","2018-10-08T11:11:54.646Z","FORECLOSURE",188,3,10,1434018,2953,"6802 Mara Meadow","Rockville","MD",20877,"hi"
"53 Cartwright Park","2018-09-13T06:17:12.363Z","AUCTION",121,4,3,846965,3456,"372 Russel Fields","Rockville","MD",20877,"hi"
"54 Cartwright Park","2018-05-20T03:28:34.169Z","OFF MARKET",143,2,6,1202309,1896,"23506 Goyette Vista","Rockville","MD",20877,"hi"
"55 Cartwright Park","2018-05-04T20:34:33.375Z","SOLD",59,0,5,443807,3014,"435 Auer Port","Rockville","MD",20851,"hi"
"56 Cartwright Park","2018-07-05T03:13:42.185Z","OFF MARKET",194,0,5,3745123,2048,"3727 Tevin Parks","Rockville","MD",20847,"hi"
"57 Cartwright Park","2018-08-17T23:49:55.785Z","FOR RENT",117,3,10,368783,2472,"4952 Dietrich Stravenue","Rockville","MD",20850,"hi"
"58 Cartwright Park","2018-07-17T19:05:12.909Z","FOR SALE",79,3,0,1776025,562,"432 Labadie Ridges","Rockville","MD",20853,"hi"
"59 Cartwright Park","2018-07-15T22:03:49.601Z","FOR SALE",154,2,2,1558995,1709,"928 Jaskolski Ville","Rockville","MD",20848,"hi"
"60 Cartwright Park","2018-07-29T22:49:08.534Z","OFF MARKET",40,0,4,1077627,639,"954 Walker Gateway","Rockville","MD",20857,"hi"
"61 Cartwright Park","2018-09-27T00:54:00.111Z","OFF MARKET",143,2,7,2448528,1441,"5670 Ana Extension","Rockville","MD",20847,"hi"
"62 Cartwright Park","2018-07-01T09:30:24.752Z","FOR SALE",54,2,3,2845081,828,"5353 Mollie Bypass","Rockville","MD",20847,"hi"
"63 Cartwright Park","2018-07-07T07:00:38.450Z","FORECLOSURE",184,1,6,3193942,2099,"268 Sonny Cliffs","Rockville","MD",20854,"hi"
"64 Cartwright Park","2018-05-05T06:13:34.673Z","OFF MARKET",36,4,8,2649009,3316,"836 Reynolds Hill","Rockville","MD",20857,"hi"
"65 Cartwright Park","2018-10-10T11:51:25.583Z","AUCTION",157,2,0,1800614,3879,"99586 Kuhic Row","Rockville","MD",20850,"hi"
"66 Cartwright Park","2018-09-07T07:11:18.609Z","FORECLOSURE",62,0,0,2202393,3848,"8145 Jaeden Gardens","Rockville","MD",20852,"hi"
"67 Cartwright Park","2018-06-27T01:14:07.506Z","FOR SALE",183,4,1,1090058,1625,"9936 Norwood Cliffs","Rockville","MD",20852,"hi"
"68 Cartwright Park","2018-07-26T13:29:27.479Z","AUCTION",131,0,2,1248982,2455,"3348 Linda Isle","Rockville","MD",20852,"hi"
"69 Cartwright Park","2018-09-18T11:31:11.176Z","SOLD",95,3,7,2204433,2192,"9241 Wendell Valleys","Rockville","MD",20851,"hi"
"70 Cartwright Park","2018-07-10T06:09:39.387Z","OFF MARKET",79,0,6,416194,2953,"998 Oran Corners","Rockville","MD",20847,"hi"
"71 Cartwright Park","2018-08-25T10:59:29.829Z","OFF MARKET",132,0,4,1692256,678,"415 Kerluke Isle","Rockville","MD",20851,"hi"
"72 Cartwright Park","2018-10-13T04:38:56.303Z","FOR RENT",31,2,6,2213340,1015,"785 Schultz Island","Rockville","MD",20854,"hi"
"73 Cartwright Park","2018-07-10T16:54:57.978Z","FORECLOSURE",70,1,9,285613,3474,"7944 Kuhic Courts","Rockville","MD",20849,"hi"
"74 Cartwright Park","2018-07-02T23:26:15.484Z","FOR RENT",8,3,4,2221866,2327,"073 Emmy Forge","Rockville","MD",20877,"hi"
"75 Cartwright Park","2018-06-02T13:43:20.270Z","AUCTION",171,0,7,1414361,2607,"26635 Brian Branch","Rockville","MD",20853,"hi"
"76 Cartwright Park","2018-07-15T05:56:45.723Z","AUCTION",170,2,9,1603174,2685,"430 Elian Hills","Rockville","MD",20877,"hi"
"77 Cartwright Park","2018-09-24T04:04:52.322Z","FORECLOSURE",70,2,4,3174954,2669,"686 Dean Coves","Rockville","MD",20852,"hi"
"78 Cartwright Park","2018-06-20T06:42:12.928Z","AUCTION",166,2,4,1969489,987,"304 Ferne Gardens","Rockville","MD",20847,"hi"
"79 Cartwright Park","2018-08-07T07:39:19.400Z","SOLD",88,2,3,1256142,311,"82699 Ruth Roads","Rockville","MD",20850,"hi"
"80 Cartwright Park","2018-09-11T20:25:15.709Z","OFF MARKET",158,3,3,2198855,2445,"48244 Leonie Field","Rockville","MD",20853,"hi"
"81 Cartwright Park","2018-05-14T16:32:40.944Z","SOLD",67,1,0,3016651,1614,"53418 Kaden Harbor","Rockville","MD",20850,"hi"
"82 Cartwright Park","2018-09-02T20:01:31.918Z","FOR RENT",116,3,8,2624272,817,"1462 Feest Summit","Rockville","MD",20848,"hi"
"83 Cartwright Park","2018-07-17T13:21:41.269Z","OFF MARKET",151,1,2,3766536,1574,"378 Gino Row","Rockville","MD",20877,"hi"
"84 Cartwright Park","2018-09-03T06:58:32.780Z","AUCTION",132,4,2,1706778,2620,"09633 Rick Drive","Rockville","MD",20853,"hi"
"85 Cartwright Park","2018-09-15T08:03:12.878Z","FOR SALE",161,1,9,3293671,3871,"73227 Klein Fall","Rockville","MD",20853,"hi"
"86 Cartwright Park","2018-08-11T08:13:56.303Z","SOLD",91,1,9,892188,3670,"235 Bernhard Turnpike","Rockville","MD",20857,"hi"
"87 Cartwright Park","2018-07-24T15:06:46.446Z","FORECLOSURE",46,3,9,1994307,628,"22516 Aron Forge","Rockville","MD",20857,"hi"
"88 Cartwright Park","2018-06-12T00:08:11.680Z","FOR RENT",150,0,0,576726,2592,"0022 Schoen Circles","Rockville","MD",20848,"hi"
"89 Cartwright Park","2018-08-17T07:04:50.578Z","FOR RENT",127,1,6,2027065,2509,"428 Hintz Ville","Rockville","MD",20877,"hi"
"90 Cartwright Park","2018-06-18T15:54:51.538Z","SOLD",114,0,5,620709,1622,"28753 Hayes Hills","Rockville","MD",20847,"hi"
"91 Cartwright Park","2018-10-16T20:47:35.247Z","OFF MARKET",48,3,7,2632472,3579,"36787 Dudley Curve","Rockville","MD",20851,"hi"
"92 Cartwright Park","2018-09-30T02:13:09.949Z","FORECLOSURE",95,4,6,1703014,2723,"2080 Wisoky Square","Rockville","MD",20854,"hi"
"93 Cartwright Park","2018-05-08T11:16:47.440Z","OFF MARKET",160,3,1,2904364,3862,"7785 Anderson Shore","Rockville","MD",20854,"hi"
"94 Cartwright Park","2018-07-11T14:26:53.118Z","OFF MARKET",97,1,0,3803201,1705,"8314 Kemmer Fort","Rockville","MD",20852,"hi"
"95 Cartwright Park","2018-08-13T06:26:33.151Z","FOR SALE",136,4,6,3441296,546,"66651 Hudson Drive","Rockville","MD",20857,"hi"
"96 Cartwright Park","2018-06-07T13:02:51.303Z","OFF MARKET",4,1,0,2393152,3725,"55072 Borer Lodge","Rockville","MD",20849,"hi"
"97 Cartwright Park","2018-07-07T03:20:00.724Z","FOR RENT",132,1,5,1165043,2105,"8738 Rutherford Wall","Rockville","MD",20851,"hi"
"98 Cartwright Park","2018-08-17T16:06:32.601Z","FORECLOSURE",60,3,6,3177520,981,"76789 Tyreek Plaza","Rockville","MD",20849,"hi"
"99 Cartwright Park","2018-08-09T05:53:44.099Z","FORECLOSURE",161,2,5,3928562,3627,"40900 Kianna Key","Rockville","MD",20854,"hi"
"100 Cartwright Park","2018-06-13T17:10:51.529Z","FOR RENT",104,4,10,1693272,3574,"430 Ezequiel Row","Rockville","MD",20850,"hi"
"101 Cartwright Park","2018-06-09T15:45:12.977Z","SOLD",56,1,2,1535086,1374,"31966 Annamarie Green","Rockville","MD",20850,"hi"
"102 Cartwright Park","2018-06-21T15:48:00.392Z","FOR SALE",17,4,10,2297561,1272,"736 Nienow Ferry","Rockville","MD",20877,"hi"
"103 Cartwright Park","2018-05-04T01:13:34.372Z","FORECLOSURE",133,4,5,2667188,3117,"28075 Josefina River","Rockville","MD",20848,"hi"
"104 Cartwright Park","2018-05-31T11:01:01.683Z","FOR RENT",117,3,7,3600009,1901,"72712 Theron Centers","Rockville","MD",20853,"hi"
"105 Cartwright Park","2018-07-07T20:09:37.760Z","FOR RENT",26,1,8,1822781,410,"44880 Hilll Roads","Rockville","MD",20857,"hi"
"106 Cartwright Park","2018-07-26T11:37:12.816Z","AUCTION",195,3,5,3950667,2089,"522 Candice Corners","Rockville","MD",20850,"hi"
"107 Cartwright Park","2018-06-18T21:06:04.634Z","SOLD",107,1,2,1588791,2672,"071 Sally Mountain","Rockville","MD",20849,"hi"
"108 Cartwright Park","2018-06-13T21:21:49.412Z","FOR SALE",197,2,7,743223,3445,"483 Beier Harbors","Rockville","MD",20877,"hi"
"109 Cartwright Park","2018-09-05T12:12:20.198Z","OFF MARKET",132,2,7,2630685,3535,"9450 Rempel Passage","Rockville","MD",20849,"hi"
"110 Cartwright Park","2018-10-05T16:36:51.961Z","FORECLOSURE",184,1,6,3009489,3693,"32498 Dayne Tunnel","Rockville","MD",20847,"hi"
"111 Cartwright Park","2018-05-29T15:06:10.257Z","AUCTION",47,0,1,407410,1337,"25644 Kautzer Port","Rockville","MD",20848,"hi"
"112 Cartwright Park","2018-08-27T10:24:09.698Z","FOR SALE",31,2,9,620042,1749,"13064 Keon Valley","Rockville","MD",20850,"hi"
"113 Cartwright Park","2018-10-10T22:02:18.306Z","FORECLOSURE",130,4,6,2304981,3677,"3626 Roob Bridge","Rockville","MD",20847,"hi"
"114 Cartwright Park","2018-07-30T19:00:00.060Z","FOR RENT",195,0,7,3917746,2137,"86887 Barton Way","Rockville","MD",20852,"hi"
"115 Cartwright Park","2018-09-23T08:45:36.453Z","AUCTION",43,1,2,3290353,1805,"78166 Aisha Port","Rockville","MD",20877,"hi"
"116 Cartwright Park","2018-07-02T13:42:29.329Z","OFF MARKET",82,2,2,776031,856,"4367 Wintheiser Cliff","Rockville","MD",20851,"hi"
"117 Cartwright Park","2018-06-06T05:04:03.191Z","FOR SALE",92,3,1,2444439,1160,"089 Collier Drive","Rockville","MD",20852,"hi"
"118 Cartwright Park","2018-08-22T20:01:06.771Z","FORECLOSURE",138,4,5,3323699,2271,"97540 Annetta Trail","Rockville","MD",20850,"hi"
"119 Cartwright Park","2018-06-24T23:41:11.164Z","FOR SALE",186,4,10,1457610,824,"3018 Hermina Station","Rockville","MD",20877,"hi"
"120 Cartwright Park","2018-05-31T19:20:06.684Z","FOR SALE",61,3,10,2868845,2468,"2913 Thiel Prairie","Rockville","MD",20854,"hi"
"121 Cartwright Park","2018-10-20T06:41:22.049Z","SOLD",111,2,1,2448099,1856,"6418 Hegmann Villages","Rockville","MD",20854,"hi"
"122 Cartwright Park","2018-09-15T12:41:16.592Z","OFF MARKET",56,0,2,1765154,3345,"315 Hansen Square","Rockville","MD",20850,"hi"
"123 Cartwright Park","2018-05-18T14:07:47.337Z","FORECLOSURE",94,1,6,2197900,2072,"49253 Jonas Manors","Rockville","MD",20852,"hi"
"124 Cartwright Park","2018-06-09T15:27:00.550Z","FOR RENT",28,4,10,2614144,1918,"19024 O'Keefe Course","Rockville","MD",20853,"hi"
"125 Cartwright Park","2018-06-08T08:32:43.415Z","FORECLOSURE",54,4,5,1928090,2321,"445 Nikki Lodge","Rockville","MD",20849,"hi"
"126 Cartwright Park","2018-09-27T01:27:28.233Z","FOR RENT",163,1,2,2391196,3537,"066 Carlos Meadows","Rockville","MD",20854,"hi"
"127 Cartwright Park","2018-07-14T06:23:20.515Z","FOR SALE",38,2,9,865163,1237,"1377 Izabella Pines","Rockville","MD",20854,"hi"
"128 Cartwright Park","2018-09-26T09:05:40.780Z","OFF MARKET",105,2,1,2392425,555,"6978 Jarrod Vista","Rockville","MD",20854,"hi"
"129 Cartwright Park","2018-08-19T20:20:20.259Z","FOR RENT",126,2,3,3227915,3311,"25907 Dicki Island","Rockville","MD",20848,"hi"
"130 Cartwright Park","2018-08-13T22:11:41.186Z","FORECLOSURE",86,1,6,2655327,2513,"99560 Hadley Run","Rockville","MD",20877,"hi"
"131 Cartwright Park","2018-10-23T17:10:49.222Z","FOR SALE",28,2,2,1811111,3497,"8649 Hettie Spurs","Rockville","MD",20850,"hi"
"132 Cartwright Park","2018-08-09T14:16:02.435Z","FOR RENT",27,1,4,932934,408,"9726 Zachary Bypass","Rockville","MD",20852,"hi"
"133 Cartwright Park","2018-07-05T03:26:29.235Z","OFF MARKET",62,2,1,1630115,3968,"6849 Emilia Mountain","Rockville","MD",20848,"hi"
"134 Cartwright Park","2018-08-11T00:41:19.812Z","SOLD",93,2,3,1483483,2874,"34904 Rupert Locks","Rockville","MD",20853,"hi"
"135 Cartwright Park","2018-09-18T04:54:04.584Z","OFF MARKET",28,2,3,1784886,1807,"6876 Kuvalis Courts","Rockville","MD",20852,"hi"
"136 Cartwright Park","2018-06-12T05:52:45.884Z","FOR RENT",195,1,10,1501749,2859,"740 Turner Pines","Rockville","MD",20848,"hi"
"137 Cartwright Park","2018-06-08T09:16:29.096Z","FOR RENT",120,1,9,983472,1765,"8607 Flatley Island","Rockville","MD",20848,"hi"
"138 Cartwright Park","2018-05-23T22:19:04.550Z","FOR RENT",31,4,8,2276552,2317,"986 Morissette Prairie","Rockville","MD",20853,"hi"
"139 Cartwright Park","2018-09-15T19:59:00.721Z","FOR RENT",8,3,10,942636,1238,"282 Tromp Underpass","Rockville","MD",20851,"hi"
"140 Cartwright Park","2018-06-07T03:47:04.207Z","OFF MARKET",133,0,3,944249,1761,"91629 Bridget Plaza","Rockville","MD",20847,"hi"
"141 Cartwright Park","2018-05-21T10:55:07.637Z","SOLD",36,2,2,1984151,3670,"12008 Maggio Pine","Rockville","MD",20847,"hi"
"142 Cartwright Park","2018-08-08T10:19:16.686Z","AUCTION",134,4,9,2320246,2387,"1029 Gabriel Islands","Rockville","MD",20852,"hi"
"143 Cartwright Park","2018-10-13T19:41:08.150Z","SOLD",68,0,9,1663230,445,"79890 Lemuel Burg","Rockville","MD",20851,"hi"
"144 Cartwright Park","2018-10-04T22:42:31.189Z","SOLD",126,0,2,1387270,1766,"900 Runolfsson Path","Rockville","MD",20851,"hi"
"145 Cartwright Park","2018-08-08T01:18:52.271Z","AUCTION",60,4,6,1070477,1976,"12271 Gusikowski Gardens","Rockville","MD",20857,"hi"
"146 Cartwright Park","2018-08-05T07:38:37.342Z","AUCTION",43,4,0,533819,2157,"85210 Green Spring","Rockville","MD",20850,"hi"
"147 Cartwright Park","2018-09-05T13:58:52.345Z","FOR SALE",149,2,9,1937774,2020,"5576 Leo Curve","Rockville","MD",20877,"hi"
"148 Cartwright Park","2018-07-03T22:29:11.691Z","OFF MARKET",31,1,8,2781831,736,"16991 Denesik Flat","Rockville","MD",20849,"hi"
"149 Cartwright Park","2018-10-24T19:01:31.080Z","AUCTION",12,2,9,1403031,1091,"1714 Evangeline Springs","Rockville","MD",20853,"hi"
"150 Cartwright Park","2018-09-10T02:26:25.437Z","OFF MARKET",42,4,2,3871100,2487,"533 Michaela Rapid","Rockville","MD",20847,"hi"
"151 Cartwright Park","2018-09-15T13:18:37.668Z","OFF MARKET",128,3,3,3246394,2328,"848 Stamm Islands","Rockville","MD",20853,"hi"
"152 Cartwright Park","2018-09-02T22:41:46.512Z","AUCTION",75,0,9,923017,1666,"484 Fay Freeway","Rockville","MD",20851,"hi"
"153 Cartwright Park","2018-06-13T21:03:38.573Z","FOR RENT",6,1,4,110348,1081,"0994 Beatty Island","Rockville","MD",20849,"hi"
"154 Cartwright Park","2018-10-07T21:01:12.047Z","SOLD",43,0,8,2537750,3593,"70281 Misty Plains","Rockville","MD",20854,"hi"
"155 Cartwright Park","2018-07-17T13:52:04.199Z","FOR RENT",172,4,7,552901,1755,"449 Jones Summit","Rockville","MD",20857,"hi"
"156 Cartwright Park","2018-10-01T21:11:59.543Z","FOR SALE",104,0,5,531374,2910,"752 Bosco Mews","Rockville","MD",20851,"hi"
"157 Cartwright Park","2018-05-17T09:21:16.311Z","FOR SALE",11,4,1,3542891,3407,"9439 Grayce Brooks","Rockville","MD",20854,"hi"
"158 Cartwright Park","2018-05-23T21:30:21.943Z","OFF MARKET",78,0,9,137533,1193,"17969 Thiel Square","Rockville","MD",20850,"hi"
"159 Cartwright Park","2018-07-11T12:35:30.822Z","FOR SALE",72,0,1,3835135,2854,"59994 Jaycee Lodge","Rockville","MD",20850,"hi"
"160 Cartwright Park","2018-06-23T09:00:35.957Z","AUCTION",87,1,10,753358,1729,"43112 Wanda Mission","Rockville","MD",20852,"hi"
"161 Cartwright Park","2018-07-28T22:09:02.305Z","FOR SALE",97,0,6,723867,1469,"069 Bernhard Stream","Rockville","MD",20848,"hi"
"162 Cartwright Park","2018-06-20T22:48:13.815Z","SOLD",74,4,6,1913592,2209,"5513 Macie Port","Rockville","MD",20857,"hi"
"163 Cartwright Park","2018-06-25T12:30:54.938Z","SOLD",169,0,7,2113754,2061,"835 Gulgowski Land","Rockville","MD",20852,"hi"
"164 Cartwright Park","2018-10-05T00:03:20.354Z","FORECLOSURE",49,0,5,2675171,2687,"157 Elvera Dale","Rockville","MD",20877,"hi"
"165 Cartwright Park","2018-07-28T17:13:20.923Z","FOR SALE",129,3,0,1327340,3044,"049 Sporer Hollow","Rockville","MD",20854,"hi"
"166 Cartwright Park","2018-08-29T17:34:29.250Z","FOR SALE",156,0,0,1041712,3715,"41028 Jules Mission","Rockville","MD",20877,"hi"
"167 Cartwright Park","2018-10-12T21:06:53.826Z","FOR SALE",125,2,9,879717,742,"69268 Shanel Junction","Rockville","MD",20851,"hi"
"168 Cartwright Park","2018-09-11T20:45:53.684Z","SOLD",175,2,7,1050732,2332,"3017 Titus Lodge","Rockville","MD",20854,"hi"
"169 Cartwright Park","2018-10-19T20:19:33.340Z","SOLD",48,0,2,3511612,2411,"7629 Willms Parkways","Rockville","MD",20851,"hi"
"170 Cartwright Park","2018-08-24T09:41:01.124Z","FOR RENT",152,4,8,1715585,3770,"962 Hudson Plaza","Rockville","MD",20847,"hi"
"171 Cartwright Park","2018-09-16T21:14:18.249Z","AUCTION",12,1,5,2237947,1424,"13814 Shawna Walks","Rockville","MD",20851,"hi"
"172 Cartwright Park","2018-07-05T15:24:44.306Z","SOLD",65,1,6,173368,2694,"06352 Rose Isle","Rockville","MD",20849,"hi"
"173 Cartwright Park","2018-06-16T05:31:45.153Z","FOR SALE",189,4,0,202678,1661,"795 Ondricka Views","Rockville","MD",20854,"hi"
"174 Cartwright Park","2018-08-18T14:57:51.522Z","AUCTION",0,0,7,1646225,2352,"7195 Hettinger Mountain","Rockville","MD",20877,"hi"
"175 Cartwright Park","2018-07-11T08:46:47.603Z","FORECLOSURE",70,4,2,606569,971,"68459 Wuckert Parkway","Rockville","MD",20857,"hi"
"176 Cartwright Park","2018-09-04T02:13:50.055Z","FOR RENT",122,0,2,973389,2146,"9713 Swaniawski Forks","Rockville","MD",20853,"hi"
"177 Cartwright Park","2018-09-11T06:22:19.813Z","FORECLOSURE",26,4,1,2681605,857,"86566 Major Roads","Rockville","MD",20848,"hi"
"178 Cartwright Park","2018-09-11T15:34:15.165Z","FORECLOSURE",24,0,6,3651150,1289,"498 Eric View","Rockville","MD",20857,"hi"
"179 Cartwright Park","2018-09-30T21:56:18.844Z","FORECLOSURE",194,1,6,2401234,3183,"4406 Gleichner Key","Rockville","MD",20857,"hi"
"180 Cartwright Park","2018-09-22T21:15:31.731Z","FOR RENT",124,0,3,890193,2361,"13232 Bahringer Island","Rockville","MD",20877,"hi"
"181 Cartwright Park","2018-10-13T01:50:04.829Z","AUCTION",57,4,1,3525049,3114,"33444 Vandervort Light","Rockville","MD",20852,"hi"
"182 Cartwright Park","2018-10-13T00:24:27.827Z","AUCTION",67,1,10,3133178,1414,"8659 Roberts Expressway","Rockville","MD",20848,"hi"
"183 Cartwright Park","2018-07-20T21:56:37.657Z","FOR RENT",198,1,1,1852186,1891,"5626 Maegan Track","Rockville","MD",20857,"hi"
